transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,month,day_of_week,is_weekend
TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,September,Friday,Weekday
TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,May,Tuesday,Weekday
TXN_4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,July,Wednesday,Weekday
TXN_7034554,Salad,2.0,5.0,10.0,Unknown,Unknown,2023-04-27,April,Thursday,Weekday
TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,June,Sunday,Weekend
TXN_2602893,Smoothie,5.0,4.0,20.0,Credit Card,Unknown,2023-03-31,March,Friday,Weekday
TXN_4433211,Unknown,3.0,3.0,9.0,Unknown,Takeaway,2023-10-06,October,Friday,Weekday
TXN_6699534,Sandwich,4.0,4.0,16.0,Cash,Unknown,2023-10-28,October,Saturday,Weekend
TXN_4717867,Unknown,5.0,3.0,15.0,Unknown,Takeaway,2023-07-28,July,Friday,Weekday
TXN_2064365,Sandwich,5.0,4.0,20.0,Unknown,In-store,2023-12-31,December,Sunday,Weekend
TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,November,Tuesday,Weekday
TXN_3051279,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-11-07,November,Tuesday,Weekday
TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,May,Wednesday,Weekday
TXN_9437049,Cookie,5.0,1.0,5.0,Unknown,Takeaway,2023-06-01,June,Thursday,Weekday
TXN_8915701,Unknown,2.0,1.5,3.0,Unknown,In-store,2023-03-21,March,Tuesday,Weekday
TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,November,Wednesday,Weekday
TXN_3765707,Sandwich,1.0,4.0,4.0,Unknown,Unknown,2023-06-10,June,Saturday,Weekend
TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,February,Friday,Weekday
TXN_8876618,Cake,5.0,3.0,15.0,Cash,Unknown,2023-03-25,March,Saturday,Weekend
TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,January,Sunday,Weekend
TXN_3522028,Smoothie,3.0,4.0,20.0,Cash,In-store,2023-04-04,April,Tuesday,Weekday
TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,March,Thursday,Weekday
TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,December,Friday,Weekday
TXN_2616390,Sandwich,2.0,4.0,8.0,Unknown,Unknown,2023-09-18,September,Monday,Weekday
TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,June,Saturday,Weekend
TXN_7958992,Smoothie,3.0,4.0,12.0,Unknown,Unknown,2023-12-13,December,Wednesday,Weekday
TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,April,Thursday,Weekday
TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,April,Monday,Weekday
TXN_8467949,Smoothie,5.0,4.0,20.0,Credit Card,Unknown,2023-03-11,March,Saturday,Weekend
TXN_7640952,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-03-11,March,Saturday,Weekend
TXN_1736287,Unknown,5.0,2.0,10.0,Digital Wallet,Unknown,2023-06-02,June,Friday,Weekday
TXN_8927252,Unknown,2.0,1.0,2.0,Credit Card,Unknown,2023-11-06,November,Monday,Weekday
TXN_9677376,Smoothie,4.0,4.0,16.0,Unknown,In-store,2023-08-15,August,Tuesday,Weekday
TXN_7710508,Unknown,5.0,1.0,5.0,Cash,Unknown,2023-08-15,August,Tuesday,Weekday
TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,October,Monday,Weekday
TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,Unknown,2023-05-28,May,Sunday,Weekend
TXN_6855453,Unknown,4.0,3.0,12.0,Unknown,In-store,2023-07-17,July,Monday,Weekday
TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,April,Saturday,Weekend
TXN_2655815,Smoothie,4.0,4.0,16.0,Unknown,Takeaway,2023-06-08,June,Thursday,Weekday
TXN_6688524,Coffee,4.0,2.0,8.0,Unknown,Unknown,2023-06-29,June,Thursday,Weekday
TXN_2083138,Smoothie,3.0,4.0,12.0,Unknown,In-store,2023-04-17,April,Monday,Weekday
TXN_2427584,Sandwich,4.0,4.0,16.0,Unknown,Takeaway,2023-12-22,December,Friday,Weekday
TXN_6650263,Tea,2.0,1.5,3.0,Unknown,Takeaway,2023-01-10,January,Tuesday,Weekday
TXN_9620080,Juice,4.0,3.0,12.0,Unknown,Takeaway,2023-10-02,October,Monday,Weekday
TXN_1491578,Cookie,2.0,1.0,2.0,Unknown,Unknown,2023-02-23,February,Thursday,Weekday
TXN_5455792,Salad,3.0,5.0,15.0,Cash,Unknown,2023-03-22,March,Wednesday,Weekday
TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,November,Friday,Weekday
TXN_9499313,Juice,5.0,3.0,15.0,Unknown,Unknown,2023-03-02,March,Thursday,Weekday
TXN_8201146,Juice,5.0,3.0,15.0,Cash,Unknown,2023-06-26,June,Monday,Weekday
TXN_8230936,Cake,3.0,3.0,9.0,Unknown,Unknown,2023-05-02,May,Tuesday,Weekday
TXN_7742742,Cake,5.0,3.0,15.0,Unknown,Takeaway,2023-09-05,September,Tuesday,Weekday
TXN_6342161,Salad,5.0,5.0,25.0,Unknown,Takeaway,2023-01-08,January,Sunday,Weekend
TXN_8914892,Unknown,5.0,5.0,25.0,Digital Wallet,Unknown,2023-03-15,March,Wednesday,Weekday
TXN_3363746,Smoothie,3.0,4.0,12.0,Credit Card,Unknown,2023-11-25,November,Saturday,Weekend
TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,December,Tuesday,Weekday
TXN_5522862,Cookie,3.0,1.0,2.0,Credit Card,Takeaway,2023-03-19,March,Sunday,Weekend
TXN_3578141,Cake,5.0,3.0,15.0,Unknown,Takeaway,2023-06-27,June,Tuesday,Weekday
TXN_2080895,Cake,3.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,April,Wednesday,Weekday
TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,November,Friday,Weekday
TXN_8813311,Juice,5.0,3.0,15.0,Unknown,In-store,2023-10-07,October,Saturday,Weekend
TXN_9023317,Salad,1.0,5.0,5.0,Unknown,Unknown,2023-09-30,September,Saturday,Weekend
TXN_8051289,Unknown,1.0,3.0,3.0,Unknown,In-store,2023-10-09,October,Monday,Weekday
TXN_2537617,Sandwich,1.0,4.0,4.0,Cash,Unknown,2023-05-27,May,Saturday,Weekend
TXN_9099694,Unknown,3.0,5.0,15.0,Unknown,Takeaway,2023-11-18,November,Saturday,Weekend
TXN_9230615,Smoothie,4.0,4.0,16.0,Digital Wallet,Unknown,2023-06-01,June,Thursday,Weekday
TXN_4987129,Sandwich,3.0,3.0,9.0,Unknown,In-store,2023-10-20,October,Friday,Weekday
TXN_8501819,Juice,3.0,3.0,6.0,Cash,Unknown,2023-03-30,March,Thursday,Weekday
TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,October,Tuesday,Weekday
TXN_8427104,Salad,2.0,3.0,10.0,Unknown,In-store,2023-10-27,October,Friday,Weekday
TXN_8471743,Unknown,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,April,Thursday,Weekday
TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,March,Wednesday,Weekday
TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,January,Tuesday,Weekday
TXN_6044979,Unknown,1.0,1.0,1.0,Cash,In-store,2023-12-08,December,Friday,Weekday
TXN_4238417,Salad,2.0,5.0,10.0,Unknown,Unknown,2023-06-19,June,Monday,Weekday
TXN_1900620,Smoothie,2.0,4.0,8.0,Credit Card,Unknown,2023-12-14,December,Thursday,Weekday
TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,July,Sunday,Weekend
TXN_3858209,Sandwich,4.0,4.0,16.0,Cash,Unknown,2023-02-22,February,Wednesday,Weekday
TXN_2091733,Salad,1.0,5.0,5.0,Unknown,In-store,2023-02-22,February,Wednesday,Weekday
TXN_8735480,Tea,5.0,1.5,7.5,Cash,Unknown,2023-06-02,June,Friday,Weekday
TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,June,Thursday,Weekday
TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,December,Saturday,Weekend
TXN_1993289,Sandwich,2.0,4.0,8.0,Unknown,In-store,2023-04-18,April,Tuesday,Weekday
TXN_2123367,Cookie,2.0,1.0,2.0,Unknown,Unknown,2023-11-07,November,Tuesday,Weekday
TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,October,Saturday,Weekend
TXN_5107946,Cake,4.0,3.0,12.0,Credit Card,Unknown,2023-12-22,December,Friday,Weekday
TXN_8035512,Tea,3.0,3.0,4.5,Cash,Unknown,2023-10-29,October,Sunday,Weekend
TXN_8718498,Cake,5.0,3.0,15.0,Credit Card,Unknown,2023-04-30,April,Sunday,Weekend
TXN_3955361,Cookie,5.0,1.0,5.0,Unknown,Takeaway,2023-04-02,April,Sunday,Weekend
TXN_9487821,Unknown,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,May,Wednesday,Weekday
TXN_4132730,Unknown,5.0,1.0,5.0,Unknown,In-store,2023-03-12,March,Sunday,Weekend
TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,August,Wednesday,Weekday
TXN_5455936,Unknown,5.0,3.0,15.0,Unknown,In-store,2023-10-28,October,Saturday,Weekend
TXN_2725602,Juice,5.0,3.0,15.0,Credit Card,Unknown,2023-09-10,September,Sunday,Weekend
TXN_3011323,Coffee,3.0,2.0,6.0,Credit Card,Unknown,2023-03-07,March,Tuesday,Weekday
TXN_6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,August,Monday,Weekday
